time,wx,wy,wz,ax,ay,az
0.003,0.43,-0.09,0.01,0.04,-0.07,-0.09
0.003,0.39,-0.05,0.01,0.04,-0.07,-0.09
0.003,0.36,-0.02,0.01,0.04,-0.07,-0.09
0.004,0.32,0.02,0.01,0.04,-0.07,-0.09
0.004,0.27,0.05,0,0.04,-0.07,-0.09
0.004,0.24,0.07,0,0.04,-0.07,-0.09
0.005,0.19,0.11,0,0.04,-0.07,-0.09
0.006,0.19,0.11,0,0.21,0.01,-0.07
0.006,0.14,0.14,0,0.21,0.01,-0.07
0.007,0.12,0.16,0,0.21,0.01,-0.07
0.016,0.07,0.18,0,0.21,0.01,-0.07
0.016,0.02,0.21,0,0.21,0.01,-0.07
0.016,0.02,0.21,0,0.07,0.13,-0.24
0.016,-0.02,0.23,0.01,0.07,0.13,-0.24
0.017,-0.04,0.24,0.01,0.07,0.13,-0.24
0.018,-0.06,0.25,0.01,0.07,0.13,-0.24
0.019,-0.1,0.26,0.01,0.07,0.13,-0.24
0.021,-0.14,0.27,0.02,0.07,0.13,-0.24
0.027,-0.14,0.27,0.02,-0.09,0.08,-0.42
0.027,-0.17,0.27,0.02,-0.09,0.08,-0.42
0.028,-0.18,0.27,0.02,-0.09,0.08,-0.42
0.028,-0.2,0.27,0.02,-0.09,0.08,-0.42
0.029,-0.22,0.27,0.03,-0.09,0.08,-0.42
0.031,-0.23,0.26,0.03,-0.09,0.08,-0.42
0.034,-0.23,0.26,0.03,-0.16,0.03,-0.4
0.034,-0.24,0.25,0.04,-0.16,0.03,-0.4
0.035,-0.24,0.24,0.04,-0.16,0.03,-0.4
0.037,-0.25,0.22,0.04,-0.16,0.03,-0.4
0.039,-0.25,0.21,0.05,-0.16,0.03,-0.4
0.041,-0.25,0.19,0.05,-0.16,0.03,-0.4
0.046,-0.25,0.19,0.05,-0.14,0.02,-0.29
0.047,-0.24,0.17,0.05,-0.14,0.02,-0.29
0.047,-0.24,0.16,0.05,-0.14,0.02,-0.29
0.048,-0.22,0.14,0.05,-0.14,0.02,-0.29
0.05,-0.21,0.12,0.05,-0.14,0.02,-0.29
0.051,-0.2,0.11,0.05,-0.14,0.02,-0.29
0.055,-0.2,0.11,0.05,-0.11,0.14,-0.22
0.055,-0.19,0.1,0.05,-0.11,0.14,-0.22
0.055,-0.17,0.08,0.05,-0.11,0.14,-0.22
0.057,-0.16,0.07,0.05,-0.11,0.14,-0.22
0.06,-0.14,0.06,0.05,-0.11,0.14,-0.22
0.061,-0.12,0.04,0.05,-0.11,0.14,-0.22
0.065,-0.12,0.04,0.05,-0.11,0.18,-0.2
0.066,-0.1,0.03,0.05,-0.11,0.18,-0.2
0.066,-0.09,0.02,0.05,-0.11,0.18,-0.2
0.067,-0.08,0.02,0.05,-0.11,0.18,-0.2
