time,ax,ay,az,wx,wy,wz
0.016,0.21,0.01,-0.07,0.07,0.18,0
0.027,-0.09,0.08,-0.42,-0.14,0.27,0.02
0.039,-0.16,0.03,-0.4,-0.25,0.21,0.05
0.05,-0.14,0.02,-0.29,-0.21,0.12,0.05
0.061,-0.11,0.14,-0.22,-0.12,0.04,0.05
0.074,-0.07,0.17,-0.23,-0.04,-0.01,0.04
0.086,-0.08,0.17,-0.35,0.02,-0.04,0.03
0.096,-0.06,0.18,-0.47,0.05,-0.07,0.02
0.107,-0.06,0.1,-0.52,0.02,-0.08,-0.01
0.117,0.01,0.08,-0.36,-0.02,-0.07,-0.03
0.129,-0.04,0.11,-0.1,-0.04,-0.06,-0.04
0.139,-0.06,0.11,0.06,-0.05,-0.04,-0.04
0.15,-0.05,0.11,0.14,-0.05,-0.03,-0.03
0.167,-0.08,0.06,0.21,-0.05,-0.01,-0.03
0.178,-0.02,0.04,0.21,-0.04,0.01,-0.02
0.189,-0.03,0.01,0.21,-0.03,0.01,-0.01
0.201,0.01,-0.01,0.19,-0.03,0.01,-0.01
0.212,0.04,-0.01,0.07,-0.03,0.04,-0.01
0.225,0.04,0.02,-0.08,-0.05,0.05,-0.01
0.237,0,0.01,-0.07,-0.05,0.06,-0.01
0.247,0,0.01,-0.05,-0.04,0.05,-0.01
0.257,0,0.02,-0.09,-0.02,0.03,0
0.267,-0.01,0.02,-0.19,-0.01,0.01,0
0.277,-0.03,-0.02,-0.24,-0.02,-0.03,0
0.289,-0.09,-0.06,-0.12,-0.01,-0.06,0.01
0.302,-0.09,-0.06,-0.12,-0.01,-0.06,0.01
0.312,-0.02,0,0.05,0,-0.05,0.01
0.322,-0.02,0.02,0.05,-0.01,-0.04,0.01
0.337,-0.04,0.01,-0.01,-0.01,-0.03,0.02
0.348,0.01,0.04,0.06,-0.05,0.01,0.02
0.36,-0.01,0.07,0.08,-0.05,0.02,0.02
0.371,0,0.08,0.09,-0.04,0.02,0.03
0.381,-0.01,0.12,0.05,-0.03,0.02,0.03
0.391,-0.05,0.16,-0.02,-0.03,0,0.02
0.401,-0.07,0.14,-0.03,-0.01,-0.01,0.02
0.415,-0.1,0.21,0,-0.01,-0.01,0.02
